objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"Radlands","329082","0","0","0","1","0","0","0","0","0","0","0","3","Super Deluxe Edition","","","","","98877382","7.36882","7.7751","2.26","198","25731","thing","Radlands","2","2","40","40","20","2021","2","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Roxley","English","2021","English deluxe edition"
"Radlands: Cult of Chrome","422233","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129228958","5.81561","8.56319","2","0","2485","thing","Radlands: Cult of Chrome","2","2","40","40","20","2024","2","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","Roxley","English","2024","English Synth edition"
"Raiders of the North Sea","170042","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","31395489","7.50778","7.72616","2.5747","128","33986","thing","Raiders of the North Sea","2","4","80","80","60","2015","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Raiders of the North Sea: Ceedee Promo Card","247806","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641059","5.56456","7.82985","3","0","510","thing","Raiders of the North Sea: Ceedee Promo Card","2","4","120","120","60","2018","","","","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","",""
"Raiders of the North Sea: Fields of Fame","210164","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641047","6.88809","8.02756","2.8364","0","10098","thing","Raiders of the North Sea: Fields of Fame","2","5","80","80","60","2018","2,3,4,5","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Raiders of the North Sea: Garphill Games 5-Year Anniversary Promo Cards","274240","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641056","5.61425","7.8779","3","0","775","thing","Raiders of the North Sea: Garphill Games 5-Year Anniversary Promo Cards","2","4","120","120","60","2019","","","","","","","","","","expansion","","","","",""
"Raiders of the North Sea: Hall of Heroes","210163","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641045","7.13766","8.21109","2.7424","0","11635","thing","Raiders of the North Sea: Hall of Heroes","2","5","80","80","60","2018","2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","",""
"Raiders of the North Sea: Jarl Promo","253275","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641061","5.62828","7.62493","3","0","1086","thing","Raiders of the North Sea: Jarl Promo","2","6","80","80","60","2018","","","","","","","","","","expansion","","","","",""
"Raiders of the North Sea: Outsiders","248494","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641052","5.71051","7.84615","3","0","1608","thing","Raiders of the North Sea: Outsiders","2","4","80","80","60","2018","","","","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Raiders of the North Sea: Rod & Pep Watch It Played Promo","234362","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641065","5.57046","7.82394","3","0","533","thing","Raiders of the North Sea: Rod & Pep Watch It Played Promo","2","4","120","120","60","2015","","","","","","","","","","expansion","","","","",""
